Symbol,Security,Price,Chg,% Chg,High,Low,Volume,Mkt Cap,1 Year
DBI.AX,Dalrymple Bay Infrastructure Ltd,$5.55,0.13,0.024,$5.55,$5.43,"868,315",$2.8B,0.3406
DYL.AX,Deep Yellow Ltd,$1.815,0.03,0.0168,$1.905,$1.815,"4,916,239",$1.8B,0.5783
DRR.AX,Deterra Royalties Ltd,$4.22,0.1,0.0243,$4.23,$4.18,"929,894",$2.2B,0.1405
DVP.AX,Develop Global Ltd,$5.35,0.08,0.0152,$5.48,$5.25,"475,174",$1.8B,0.6411
DXS.AX,Dexus,$6.26,0.03,0.0048,$6.33,$6.20,"1,702,526",$6.7B,-16.76%
DOW.AX,Downer Edi Ltd,$7.42,0.01,0.0014,$7.50,$7.42,"847,288",$4.9B,0.2837
DRO.AX,Droneshield Ltd,$3.61,0.07,0.0198,$3.64,$3.55,"6,041,611",$3.3B,1.8651
DNL.AX,Dyno Nobel Ltd,$3.34,0.07,0.0214,$3.35,$3.30,"1,604,919",$5.9B,0.4459
APE.AX,Eagers Automotive Ltd,$24.89,0.89,0.0371,$24.96,$24.07,"365,560",$7B,0.3542
EBO.AX,Ebos Group Ltd,$17.42,0.12,0.0069,$17.50,$17.12,"104,975",$3.6B,-49.51%
EOS.AX,Electro Optic Systems Holdings Ltd,$9.30,0.24,0.0265,$9.50,$9.12,"1,293,943",$1.8B,6.9149
ELV.AX,Elevra Lithium Ltd,$13.52,-0.06,-0.44%,$13.97,$13.29,"1,313,414",$2.3B,3.7439
EMR.AX,Emerald Resources NL,$5.85,0.07,0.0121,$6.04,$5.75,"1,240,329",$3.9B,0.4444
EDV.AX,Endeavour Group Ltd,$3.42,0.07,0.0209,$3.44,$3.32,"3,197,932",$6.1B,-17.39%
EVN.AX,Evolution Mining Ltd,$12.15,0.25,0.021,$12.44,$12.035,"5,560,552",$25B,0.5718
EVT.AX,EVT Ltd,$12.08,0.11,0.0092,$12.14,$11.89,"252,542",$2B,-15.82%
FPH.AX,Fisher & Paykel Healthcare Corporation Ltd,$29.61,-0.21,-0.70%,$29.95,$29.30,"281,006",$17B,-8.33%
FBU.AX,Fletcher Building Ltd,$2.39,0.1,0.0437,$2.39,$2.31,"629,192",$2.6B,-18.15%
FLT.AX,Flight Centre Travel Group Ltd,$10.15,-0.04,-0.39%,$10.33,$10.05,"1,762,161",$2.1B,-21.50%
FMG.AX,Fortescue Ltd,$20.01,0.36,0.0183,$20.05,$19.87,"3,323,844",$62B,0.2367
FRW.AX,Freightways Group Ltd,$10.00,0,0,‐,‐,0,$1.8B,0.0428
GLF.AX,Gemlife Communities Group,$4.74,0.09,0.0194,$4.82,$4.58,"439,211",$1.8B,0.1394
